statistic,library,per_request_ms,per_document_ms
min,cross-encode-rs,16.63,0.55
min,fastembed,13.79,0.46
min,sentence-transformers,86.89,2.90
p50,cross-encode-rs,25.43,0.85
p50,fastembed,27.45,0.92
p50,sentence-transformers,213.08,7.15
p90,cross-encode-rs,30.47,1.02
p90,fastembed,36.16,1.21
p90,sentence-transformers,281.10,9.44
p99,cross-encode-rs,35.91,1.20
p99,fastembed,49.23,1.64
p99,sentence-transformers,374.26,12.48
max,cross-encode-rs,53.89,1.80
max,fastembed,71.80,2.39
max,sentence-transformers,535.18,17.84
